                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 0.7528,                0.45198,                 1.0227,                0.97457,                0.99833,                 0.9849,                0.77971,                0.79266,                0.40117,                 1.1286,             0.00052277,             0.00052277,             0.00052277
                     55,                0.71246,                0.43848,                 1.0096,                0.97452,                0.99953,                0.98056,                0.78991,                0.77816,                0.39982,                 1.1096,             0.00050077,             0.00050077,             0.00050077
                     56,                0.68405,                0.40693,                0.98868,                0.97605,                0.98837,                0.98805,                0.79538,                0.78215,                0.40506,                  1.116,             0.00047876,             0.00047876,             0.00047876
                     57,                0.73452,                0.44616,                 1.0138,                0.97538,                0.98837,                0.98797,                0.79912,                0.78137,                0.40169,                 1.1071,             0.00045676,             0.00045676,             0.00045676
                     58,                0.69479,                0.43109,                0.99935,                0.97556,                0.99966,                0.98763,                0.80456,                0.75504,                0.38041,                 1.0979,             0.00043475,             0.00043475,             0.00043475
                     59,                0.68198,                 0.4035,                0.98097,                0.98664,                      1,                0.99057,                0.80682,                0.77105,                0.37862,                 1.0913,             0.00041275,             0.00041275,             0.00041275
                     60,                 0.6787,                 0.3985,                0.97834,                0.97477,                      1,                0.98478,                0.79722,                0.77412,                0.37307,                 1.0849,             0.00039074,             0.00039074,             0.00039074
                     61,                0.64219,                0.39174,                0.97706,                0.96336,                0.99876,                0.98721,                0.78851,                0.77557,                0.37953,                 1.0864,             0.00036874,             0.00036874,             0.00036874
                     62,                0.69955,                0.41532,                 1.0004,                 0.9744,                0.99932,                0.98853,                0.80553,                0.76651,                0.39054,                  1.089,             0.00034674,             0.00034674,             0.00034674
                     63,                0.64578,                0.38995,                0.97225,                0.97509,                0.99945,                0.99031,                0.80696,                0.76712,                0.37746,                 1.0895,             0.00032473,             0.00032473,             0.00032473
                     64,                0.65917,                0.40956,                0.98605,                0.98414,                0.99884,                0.99398,                0.81689,                0.74338,                0.35983,                 1.0839,             0.00030273,             0.00030273,             0.00030273
                     65,                0.68479,                0.40283,                  1.009,                0.98498,                      1,                0.99477,                 0.8123,                0.79149,                0.36681,                 1.1104,             0.00028072,             0.00028072,             0.00028072
                     66,                0.59486,                0.35452,                 0.9699,                 0.9752,                      1,                  0.993,                 0.8002,                0.77627,                0.36527,                 1.1105,             0.00025872,             0.00025872,             0.00025872
                     67,                0.56543,                0.35148,                0.96893,                0.97617,                      1,                 0.9914,                0.80752,                0.75785,                0.36294,                 1.0922,             0.00023671,             0.00023671,             0.00023671
                     68,                0.55212,                 0.3391,                0.96295,                0.96467,                      1,                0.98954,                0.81242,                0.76319,                0.36236,                 1.0904,             0.00021471,             0.00021471,             0.00021471
                     69,                0.55122,                0.33193,                 0.9324,                 0.9654,                      1,                0.98899,                0.81708,                0.71889,                0.34952,                 1.0689,             0.00019271,             0.00019271,             0.00019271
                     70,                0.54988,                0.32322,                0.95603,                0.96532,                      1,                0.99078,                0.81285,                0.75097,                0.35804,                 1.0817,              0.0001707,              0.0001707,              0.0001707
                     71,                0.55009,                0.32456,                0.95832,                0.97459,                      1,                0.99013,                0.80952,                0.76444,                0.35987,                 1.0963,              0.0001487,              0.0001487,              0.0001487
                     72,                0.54558,                0.33217,                0.97449,                0.96535,                      1,                0.98955,                0.81398,                0.73464,                0.34688,                 1.0827,             0.00012669,             0.00012669,             0.00012669
                     73,                0.53376,                0.30996,                0.93436,                0.97603,                      1,                0.99013,                 0.8157,                0.74177,                0.34875,                 1.0857,             0.00010469,             0.00010469,             0.00010469
                     74,                0.52582,                0.31996,                0.94417,                0.97601,                      1,                0.99031,                0.81026,                   0.76,                 0.3492,                 1.0949,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     75,                0.53589,                 0.3182,                0.94893,                0.97611,                      1,                 0.9905,                0.81073,                 0.7504,                0.34657,                 1.0884,             6.0679e-05,             6.0679e-05,             6.0679e-05
